Country,State,City,Name,Category - Final,Description,Website
Spain,,Seville,Indisys,Business Intelligence,"Indisys, Intelligent Dialogue Systems, aims to emulate flexible and natural dialogue, and put the voice and language customer service. Applications include telephone self-service systems and virtual assistants online and on smartphones.",http://www.indisys.es
United States,Washington,Seattle,Indix,Sales/Marketing,"Indix offers a product information marketplace. Through a combination of the web and partners, Indix collects data such as price, availability, and seller information in addition to catalog data like code-based identifiers and attributes to create a source of structured product information. Using data science and machine learning, Indix cleanses, structures, and refines the data, and then makes it available through Indix Data-as-a-Service.",http://www.indix.com
United States,California,Palo Alto,Infer,Sales/Marketing,"Infer delivers predictive business applications that help companies win more customers. It leverages proven data science to rapidly model the untapped data sitting in enterprises, along with thousands of external signals from the web. Customers include several large businesses and numerous high-growth companies like AdRoll, Cloudera, New Relic, Nitro, SurveyMonkey, Tableau, Xactly and Zendesk.",http://www.infer.com
Poland,,Wroclaw,Infermedica,Healthcare,,http://infermedica.com/
China,,Beijing,Infervision,Healthcare,Infervision (æŽ¨æƒ³ç§‘æŠ€) is a Beijing-based medical imaging company using machine learning and computer vision to help diagnose cancers. Infervision installs its software on-premise at hospitals and updates its image recognition and diagnostics tools based on the data coming in from its training hospitals.,http://www.infervision.com
Israel,,,InfiniGrow,Sales/Marketing,,http://infinigrow.com
United States,Massachusetts,Cambridge,Infinite Analytics,Communication,"Infinite Analytics is the most advanced predictive marketing and analytics company. The company has built a real-time personalization platform that learns and predicts by utilizing all available data to match a customer to a product or service. It creates a complete view of every customer based on the user and catalog structured and unstructured data from online, offline and macro-trends from the web. Through the use of NLP, Machine Learning and a lot of predictive analytics, Infinite Analytics can predict user's behavior for retail and e-commerce applications.",http://www.infiniteanalytics.com
Israel,,Tel Aviv,Inflowz,Sales/Marketing,"Inflowz provides an artificial intelligence technology platform that helps sales leaders optimize their sales processes based on three principles to simplify the entire process: CRM hygiene, process scoring, and tailored recommendations. By observing all customers' journeys, and clustering them together based on their actions in the sales process, the AI technology is able to produce a visual display of the various journeys, and provide a waze-like GTM service with dynamic recommendations on how to optimize the sales journey for every opportunity, at any point in the process.",http://www.inflowz.com
France,,Paris,Influans,Sales/Marketing,"Influans powers interactions between consumers and brands. Created by big data veterans, the Influans cloud platform leverages big data and machine learning technologies. It enables any brand or retailer to deploy next generation performance-driven marketing, that target the right person with the right product at the right time and with the right incentive, while requiring Notechnical expertise.",http://www.influans.com
United States, Nevada,Las Vegas,Influential,Sales/Marketing,Influential is an A.I. influencer technology and the only Developer Partner of IBM Watson for Influencer Marketing and Technology.,https://influential.co/
Brazil, Brazil,Sao Paulo,InfoPrice,Business Intelligence,INFOPRICE is a business intelligence company focused on physical retail pricing.,https://www.infoprice.co/
United States,California,San Jose,Infrrd,Core AI,"Infrrd helps enterprises get more done with vision, natural language processing and predictive algorithms focused Artificial Intelligence Platform. The platform and algorithms extract deep insights from big data based on machine learning. Infrrd offers these insights to drive decisions and automate extraction for our customers.",http://www.infrrd.ai
United States, Texas,Frisco,ingage.ai,Communication,Build Smart AI Conversational Services for Customer Engagements and Enterprise Workflows,http://ingage.ai/
United States, California,Palo Alto,ingrain.io,Computer Vision,Machine Vision technology that enables AR experiences beyond the range of depth sensors.,http://ingrain.io/
United States,California,Los Angeles,Inkba,,"Inkba.com is an online marketplace connecting buyers and sellers of unique and out-of-home advertising spaces.  You can now buy a complete ad campaign with a click of a button. You can research, compare, and buy an ad campaign in a centralized location. Weve come up with unique technology that streamlines the previously difficult process of purchasing different types of ad spaces.  Inkba.com allows small businesses and advertising agencies to source hard to find and local advertising spaces. Individuals can sell ad space on their t-shirt, dog, car, laptop, etc. The ad space buyers then can find these spaces by searching demographic information or through recommendations that utilize our machine-learning algorithm.  Inkba.com generates revenue by taking a commission on completed orders. Buyers can log into their account to confirm that the ad was placed and receive reports and analytics.",http://www.inkba.com
Italy,,Rome,Innaas,Communication,"Innaas provides a SaaS-based performance management platform that allows enterprises to collect and analyze data, define activities which ensure that their goals are being met effectively and efficiently, take data driven decisions, improve the business and quickly create new product/services. The data platform can be deployed to integrate data and other digital assets.",http://www.innaas.com
Italy,,Rome,INNAAS,Data Analytics,,http://www.innaas.com/
Canada,Ontario,Toronto,InnerSpace Technology,Business Intelligence,"InnerSpace uses mapping technology, smartphone-compatible sensors and machine learning to automatically generate maps and accurately locate people and things throughout indoor spaces.",http://www.innerspace.io
South Korea,,Seoul,Innoplay Lab,Robotics,Smart home robotics,http://www.ipl.global
China, Beijing,Haidian,InnoTree,Fintech,The company's objective is to make equity investment easier and more efficient for professional investors.,http://www.innotree.cn
United States,Colorado,Fort Collins,Innotrieve,Human Resources,"Innotrieve was founded to make high value human resources information more accessible to recruiters, employees, and employers. The company uses advanced artificial intelligence tools to comb public and private sources to discover information about people that other HR solutions don't find. Innotrieve is able to develop an engine for people discovery that will improve the use of publicly available information from the internet, and other large data sources. It's products range from recruiting solutions to resume verification services to contracting and staffing support.",http://www.innotrieve.com
